Group,n_bio,d13C_mean,d13C_sd,d15N_mean,d15N_sd,wt%N_mean,wt%N_sd,wt%C_mean,wt%C_sd,C:N_mean,C:N_sd,ID,Region,Farming Type,# of tomatoes
A,4,-28.435486518020006,0.3891448221371464,7.5567949500000005,0.708686091520877,1.7449106228296414,0.23967484747428677,34.68584426648246,2.533916223250415,20.060545929020588,2.0749250187943997,A,"Bavaria, Germany",Organic,4
B,12,-28.72427015941334,0.8367924850572678,4.541949775,0.4377463634112027,2.2312667199970964,0.963168042355155,37.81732370225773,4.239559872260545,20.35897624249195,11.362241716996397,B,"Almería, Spain",Organic,4
C,4,-30.257710564560007,0.4693173665867224,0.50576045,0.540213550737345,1.6221436849713955,0.12309475158568264,37.62837895341671,1.731727523552914,23.345571958026223,2.6582407579899017,C,"Bavaria, Germany",Conventional,4
D,3,-29.65190073497334,2.785045495744447,0.5914304333333333,0.8561050313852229,1.5853681867895186,0.06976663544398642,36.89399736501988,0.9975369182303891,23.283974734167966,0.448807862742999,D,"Bavaria, Germany",Conventional,3
E,4,-32.275716089860005,0.3404479179653497,0.45477049999999997,0.5204727423265507,2.2732980377938894,0.11130933573449939,39.402245010993134,0.7272456224095226,17.356554308995435,0.6923304832642347,E,"Bavaria, Germany",Conventional,5
F,4,-30.878721179330007,0.17477142183506272,-0.8137976499999999,0.5283094253904398,1.680710728570103,0.07037051053955058,35.774164748584425,1.0161658647346095,21.29952459471127,0.6259301002162967,F,"Bavaria, Germany",Conventional,4
G,4,-30.810339708895004,0.8031840922384018,6.877959049999999,0.8199477373723135,1.6853160028580068,0.5546754484126268,38.50254162273684,4.536405114399688,25.649251889129587,12.43577444640634,G,"Bavaria, Germany",Organic,5
H,4,-28.665257644880008,0.16757102635073187,7.58975815,0.5306374957724058,1.4622897401752109,0.1459781399842702,34.4441905415411,1.7748260902369444,23.798938034011396,3.4410645096712478,H,"Bavaria, Germany",Organic,4
I,4,-29.202990371240006,0.2985001463765648,3.0377462499999996,0.7908209933302414,1.725529235384718,0.31068926585733214,36.798552735839955,1.6981905695768988,21.835264274911903,3.996453184961743,I,"Bavaria, Germany",Organic,5
J,9,-29.62258717961778,0.38400258747322125,-0.21055964444444442,0.8478782829747146,1.378585266002448,0.5265708480700735,50.13378205606588,1.2996263403068145,39.10630805496871,8.177720197816226,J,"Souss-Massa, Morocco",Conventional,4
